t,r,u,y
2.57,0.28022,0.085001,0.40833
2.58,0.27961,0.04825,0.40771
2.59,0.27878,0.02075,0.40549
2.6,0.27767,-0.021002,0.40627
2.61,0.27603,-0.058001,0.40528
2.62,0.27422,-0.097001,0.40388
2.63,0.27222,-0.1405,0.40377
2.64,0.26955,-0.181,0.40254
2.65,0.26669,-0.189,0.3939
2.66,0.26343,-0.20712,0.38648
2.67,0.2601,-0.24525,0.38431
2.68,0.25626,-0.2795,0.38086
2.69,0.2522,-0.31338,0.37719
2.7,0.24744,-0.34686,0.37211
2.71,0.24286,-0.374,0.36563
2.72,0.23775,-0.4015,0.35973
2.73,0.23241,-0.419,0.35139
2.74,0.22659,-0.44786,0.34415
2.75,0.22045,-0.47,0.33632
2.76,0.21434,-0.49075,0.32815
2.77,0.20794,-0.51637,0.32092
2.78,0.2006,-0.546,0.31269
2.79,0.19382,-0.57425,0.3058
2.8,0.18659,-0.6005,0.29802
2.81,0.17937,-0.6245,0.28956
2.82,0.17169,-0.647,0.28067
2.83,0.16313,-0.67038,0.27027
2.84,0.15535,-0.68787,0.25999
2.85,0.14717,-0.71387,0.25159
2.86,0.13865,-0.73357,0.24108
2.87,0.12921,-0.7555,0.22996
2.88,0.12054,-0.77925,0.22084
2.89,0.11164,-0.803,0.21128
2.9,0.10237,-0.81486,0.19876
2.91,0.09224,-0.83075,0.18637
2.92,0.083178,-0.8435,0.17458
2.93,0.073725,-0.8585,0.16319
2.94,0.063884,-0.87938,0.1529
2.95,0.053757,-0.89714,0.14106
2.96,0.043591,-0.912,0.12899
2.97,0.033694,-0.92975,0.11832
2.98,0.024019,-0.9345,0.10431
2.99,0.013154,-0.95114,0.092392
3,0.0030021,-0.96225,0.079786
3.01,-0.0070059,-0.97363,0.067943
3.02,-0.017292,-0.98738,0.056545
3.03,-0.028467,-0.995,0.042701
3.04,-0.038475,-1.008,0.031359
3.05,-0.048483,-1.02,0.019793
3.06,-0.058491,-1.026,0.0072277
3.07,-0.068499,-1.034,-0.0048931
3.08,-0.079508,-1.0374,-0.019127
3.09,-0.089516,-1.0386,-0.032193
3.1,-0.099135,-1.0495,-0.042645
3.11,-0.10917,-1.0564,-0.054519
3.12,-0.11965,-1.058,-0.068054
3.13,-0.12933,-1.0653,-0.079064
3.14,-0.13878,-1.071,-0.08985
3.15,-0.14837,-1.0687,-0.10294
3.16,-0.15818,-1.0705,-0.11509
3.17,-0.16724,-1.0716,-0.12655
3.18,-0.17614,-1.0751,-0.13694
3.19,-0.18487,-1.0811,-0.14645
3.2,-0.19412,-1.078,-0.15892
3.21,-0.20283,-1.072,-0.1708
3.22,-0.21072,-1.0723,-0.18092
3.23,-0.21884,-1.059,-0.19327
3.24,-0.22729,-1.054,-0.20442
3.25,-0.23513,-1.0458,-0.21528
3.26,-0.24236,-1.0399,-0.22501
3.27,-0.24959,-1.0311,-0.23502
3.28,-0.25709,-1.016,-0.24642
3.29,-0.26366,-1.0102,-0.25509
3.3,-0.26999,-0.9985,-0.26443
3.31,-0.276,-0.98375,-0.27411
3.32,-0.282,-0.97,-0.28289
3.33,-0.28812,-0.94787,-0.29385
3.34,-0.2934,-0.926,-0.3033
3.35,-0.29841,-0.90737,-0.31153
3.36,-0.30297,-0.88543,-0.32051
3.37,-0.3078,-0.8565,-0.33026
3.38,-0.31192,-0.83325,-0.33816
3.39,-0.31536,-0.811,-0.34516
3.4,-0.31911,-0.78214,-0.35323
3.41,-0.32237,-0.74937,-0.36173
3.42,-0.32532,-0.716,-0.36941
3.43,-0.3276,-0.68563,-0.37591
3.44,-0.32982,-0.66038,-0.38092
3.45,-0.33188,-0.631,-0.38596
3.46,-0.33316,-0.598,-0.39142
3.47,-0.33427,-0.5725,-0.39476
3.48,-0.33516,-0.5355,-0.39988
3.49,-0.33576,-0.503,-0.40356
3.5,-0.33582,-0.4695,-0.40677
3.51,-0.33582,-0.43957,-0.40922
3.52,-0.33555,-0.4085,-0.41144
3.53,-0.33404,-0.365,-0.415
3.54,-0.33238,-0.33575,-0.41478
3.55,-0.33026,-0.3015,-0.41522
3.56,-0.32715,-0.262,-0.416
3.57,-0.32337,-0.227,-0.415
3.58,-0.31892,-0.17938,-0.41466
3.59,-0.31392,-0.13375,-0.41439
3.6,-0.30836,-0.097875,-0.41066
3.61,-0.30221,-0.054713,-0.4082
3.62,-0.29512,-0.00049992,-0.40588
3.63,-0.2879,0.04675,-0.40266
3.64,-0.27978,0.104,-0.40032
3.65,-0.27107,0.17357,-0.39975
3.66,-0.26126,0.22813,-0.39387
3.67,-0.25181,0.25512,-0.38253
3.68,-0.2418,0.28625,-0.37185
3.69,-0.23107,0.35287,-0.36807
3.7,-0.21884,0.42171,-0.36251
3.71,-0.20683,0.484,-0.35539
3.72,-0.19449,0.5335,-0.34528
3.73,-0.1817,0.5965,-0.33783
3.74,-0.16744,0.64557,-0.32413
3.75,-0.1534,0.69912,-0.31303
3.76,-0.13933,0.74412,-0.29941
3.77,-0.12488,0.79412,-0.28662
3.78,-0.10853,0.85,-0.27222
3.79,-0.092963,0.897,-0.25732
3.8,-0.077172,0.9455,-0.24264
3.81,-0.061049,0.99925,-0.22896
3.82,-0.044925,1.046,-0.21306
3.83,-0.02641,1.1066,-0.1971
3.84,-0.0091736,1.1591,-0.18153
3.85,0.0080622,1.2066,-0.16458
3.86,0.026053,1.2516,-0.14678
3.87,0.04537,1.306,-0.12832
3.88,0.063495,1.351,-0.10987
3.89,0.081843,1.394,-0.091184
3.9,0.10084,1.444,-0.072629
3.91,0.12082,1.504,-0.055155
3.92,0.13956,1.5478,-0.035583
3.93,0.15846,1.5743,-0.012732
3.94,0.17753,1.6009,0.010175
3.95,0.19806,1.639,0.032851
3.96,0.21751,1.674,0.05471
3.97,0.23697,1.7015,0.077173
3.98,0.25621,1.742,0.096522
3.99,0.27711,1.7707,0.1213
4,0.2964,1.7966,0.14412
4.01,0.3157,1.8232,0.16619
4.02,0.3346,1.8482,0.18815
4.03,0.35539,1.875,0.21261
4.04,0.3743,1.8955,0.23486
4.05,0.39298,1.9135,0.25776
4.06,0.41166,1.9308,0.28034
4.07,0.43012,1.952,0.30157
4.08,0.45014,1.9724,0.32532
4.09,0.46793,1.9899,0.34644
4.1,0.48572,1.9988,0.36902
4.11,0.50326,2.0049,0.39238
4.12,0.52197,2.0175,0.41522
4.13,0.53888,2.0235,0.43702
4.14,0.55556,2.022,0.45948
4.15,0.57214,2.0261,0.48102
4.16,0.58942,2.0246,0.50401
4.17,0.60476,2.0206,0.52498
4.18,0.62016,2.0126,0.54644
4.19,0.63462,1.9919,0.5699
4.2,0.65011,1.9729,0.59349
4.21,0.66453,1.952,0.6156
4.22,0.67788,1.926,0.63729
4.23,0.691,1.9125,0.65541
4.24,0.7045,1.8767,0.67883
4.25,0.71641,1.8459,0.69939
4.26,0.72792,1.8169,0.71802
4.27,0.73903,1.7856,0.73609
4.28,0.75038,1.752,0.75527
4.29,0.76027,1.717,0.77228
4.3,0.7695,1.6775,0.7893
4.31,0.7784,1.6402,0.80498
4.32,0.78641,1.597,0.8211
4.33,0.7948,1.5547,0.83628
4.34,0.80175,1.5166,0.84907
4.35,0.80803,1.4739,0.86197
4.36,0.81411,1.426,0.87511
4.37,0.81954,1.381,0.88649
4.38,0.82421,1.3322,0.89772
4.39,0.82822,1.277,0.90962
4.4,0.83152,1.2309,0.91813
4.41,0.83422,1.1749,0.92746
4.42,0.83606,1.1208,0.93586
4.43,0.83761,1.0696,0.94253
4.44,0.83817,1.0077,0.95076
4.45,0.83845,0.94675,0.9571
4.46,0.83845,0.891,0.9621
4.47,0.83778,0.82575,0.96877
4.48,0.83645,0.7735,0.97122
4.49,0.83425,0.70657,0.97538
4.5,0.8315,0.6405,0.97878
4.51,0.82838,0.57812,0.98034
4.52,0.82449,0.515,0.98145
4.53,0.81932,0.45,0.98078
4.54,0.81421,0.3785,0.98156
4.55,0.80842,0.31,0.98101
4.56,0.80197,0.243,0.97912
4.57,0.79486,0.17,0.97767
4.58,0.78613,0.094249,0.974
4.59,0.77779,0.028625,0.969
4.6,0.76867,-0.045,0.96505
4.61,0.75902,-0.13485,0.96375
4.62,0.74793,-0.227,0.95988
4.63,0.73737,-0.2975,0.95209
4.64,0.72636,-0.338,0.93764
4.65,0.71378,-0.39314,0.92474
4.66,0.70067,-0.48225,0.91779
4.67,0.68805,-0.55387,0.90795
4.68,0.67432,-0.623,0.89716
4.69,0.66064,-0.68113,0.88332
4.7,0.64515,-0.74514,0.86819
4.71,0.63028,-0.803,0.85268
4.72,0.61471,-0.8655,0.83811
4.73,0.59915,-0.9105,0.81932
4.74,0.58186,-0.97628,0.80267
4.75,0.56501,-1.0332,0.78568
4.76,0.54833,-1.0924,0.76889
4.77,0.53109,-1.1486,0.75138
4.78,0.51196,-1.206,0.73081
4.79,0.49417,-1.2582,0.7119
4.8,0.47616,-1.3125,0.69278
4.81,0.45781,-1.3615,0.67265
4.82,0.43902,-1.41,0.65252
4.83,0.41822,-1.46,0.62917
4.84,0.39932,-1.5013,0.60693
4.85,0.38003,-1.5434,0.58519
4.86,0.36029,-1.5931,0.56407
4.87,0.33916,-1.636,0.53977
4.88,0.31937,-1.6743,0.51708
4.89,0.2998,-1.719,0.49551
4.9,0.27921,-1.7463,0.46971
4.91,0.25804,-1.7801,0.44385
4.92,0.23819,-1.8055,0.41883
4.93,0.21817,-1.8105,0.38987
4.94,0.19816,-1.6376,0.32248
4.95,0.17671,-1.6241,0.29134
4.96,0.15657,-1.794,0.30068
4.97,0.13666,-1.651,0.24208
4.98,0.11721,-1.6505,0.21684
4.99,0.095696,-1.7524,0.21128
5,0.076339,-1.5704,0.14545
5.01,0.057045,-1.6865,0.14762
5.02,0.038141,-1.699,0.12566
5.03,0.017347,-1.571,0.072058
5.04,-0.0014459,-1.7133,0.080953
5.05,-0.019794,-1.67,0.048261
5.06,-0.037808,-1.6147,0.014901
5.07,-0.0556,-1.743,0.021794
5.08,-0.07456,-1.6366,-0.025354
5.09,-0.091796,-1.6316,-0.045926
5.1,-0.10864,-1.7084,-0.048817
5.11,-0.12543,-1.6476,-0.082225
5.12,-0.14256,-1.635,-0.10475
5.13,-0.15835,-1.682,-0.11231
5.14,-0.17347,-1.65,-0.137
5.15,-0.18879,-1.649,-0.15447
5.16,-0.204,-1.6571,-0.17008
5.17,-0.2179,-1.6203,-0.19371
5.18,-0.23085,-1.626,-0.20739
5.19,-0.24386,-1.6318,-0.2204
5.2,-0.25697,-1.6073,-0.24026
5.21,-0.2691,-1.594,-0.25621
5.22,-0.28022,-1.592,-0.26833
5.23,-0.29112,-1.561,-0.28645
